Price,Close,High,Low,Open,Volume,Symbol
Ticker,XLF,XLF,XLF,XLF,XLF,
Date,,,,,,
2010-11-24,9.042606353759766,9.048786433220403,8.943712021284677,8.96843524159498,72325066,Financials
2010-11-26,8.91280460357666,9.011698172794734,8.91280460357666,8.962251025377366,39044858,Financials
2010-11-29,8.986973762512207,9.024059302524362,8.875718593708985,8.894261000906752,101123080,Financials
2010-11-30,8.93752670288086,9.005516250017358,8.900441891142716,8.91280349505543,94421024,Financials
2010-12-01,9.116771697998047,9.12295250014908,9.042602072185652,9.067325280789783,102218916,Financials
2010-12-02,9.351646423339844,9.364008030373876,9.1476784560448,9.160040063078831,139900073,Financials
2010-12-03,9.382547378540039,9.401089781604991,9.24038750380915,9.289834637598817,111832288,Financials
2010-12-06,9.370184898376465,9.40108890058857,9.320737769220699,9.357823297491622,64905337,Financials
2010-12-07,9.382547378540039,9.499983323567866,9.357824174453437,9.499983323567866,131973540,Financials
2010-12-08,9.537069320678711,9.537069320678711,9.376366309424848,9.388728637687835,119732230,Financials
2010-12-09,9.65450668334961,9.673048363020895,9.549431602152127,9.598878741869562,95687230,Financials
2010-12-10,9.741037368774414,9.74721816973445,9.623600699300795,9.685409434517624,69683833,Financials
2010-12-13,9.73486042022705,9.802849988377485,9.70395640089358,9.784307576777403,62184704,Financials
2010-12-14,9.648324966430664,9.771942450487535,9.61123943096699,9.73485691502386,85879730,Financials
2010-12-15,9.567972183227539,9.68540884555998,9.549429781474966,9.605057712349092,101531526,Financials
2010-12-16,9.580336570739746,9.648326122556325,9.53088942606861,9.592698901119997,108179541,Financials
2010-12-17,9.633683204650879,9.63988641731071,9.5468374991657,9.596463928691897,76205917,Financials
2010-12-20,9.639886856079102,9.677106133732154,9.608870791368226,9.652293281963452,49879628,Financials
2010-12-21,9.807374954223633,9.813578167097631,9.677106027374517,9.677106027374517,59296901,Financials
2010-12-22,9.919034004211426,9.937644372000365,9.825985078257185,9.844595446046124,87852408,Financials
2010-12-23,9.844594955444336,9.906627812404983,9.807374949968915,9.900423871286097,36235347,Financials
2010-12-27,9.931440353393555,9.931440353393555,9.788764994856919,9.794968936236764,29735790,Financials
2010-12-28,9.931440353393555,9.962457147302342,9.906628229112222,9.931440353393555,42018708,Financials
2010-12-29,9.912832260131836,9.950052272978178,9.900425831932296,9.943848330630686,31035357,Financials
2010-12-30,9.881814002990723,9.912830066626356,9.844594726627962,9.912830066626356,45377614,Financials
2010-12-31,9.894220352172852,9.906626776618312,9.844593926143506,9.857000350588967,27080400,Financials
2011-01-03,10.111335754394531,10.136148607010401,10.00587967428186,10.030693255145342,113566767,Financials
2011-01-04,10.09892749786377,10.160960346408878,10.01208180119961,10.148553194101874,65761128,Financials
2011-01-05,10.216790199279785,10.235400565337192,10.049302002495947,10.06170842770252,119644460,Financials
2011-01-06,10.148553848266602,10.241603491205883,10.142351364084512,10.222993853917037,82408064,Financials
2011-01-07,10.061712265014648,10.198184450829494,9.937647237385736,10.185778020891386,219266212,Financials
2011-01-10,10.036893844604492,10.067909900016142,9.943843493627439,10.005876332698106,107038774,Financials
2011-01-11,10.074113845825195,10.148553117870678,10.030691361943024,10.098927422005339,61620659,Financials
2011-01-12,10.241600036621094,10.24780324695831,10.173363994664436,10.191973625676084,100785048,Financials
2011-01-13,10.210589408874512,10.272623006118339,10.173370124425478,10.260215849720941,74704466,Financials
2011-01-14,10.371874809265137,10.396688394716413,10.191980138044041,10.204386566645807,113359713,Financials
2011-01-18,10.309842109680176,10.359467821408199,10.260215669704447,10.347061393476192,75478150,Financials
2011-01-19,10.080320358276367,10.26641822175339,10.049303562198423,10.22919821210939,144544020,Financials
2011-01-20,10.129948616027832,10.16716790411477,10.043102153996061,10.08032217033079,115484911,Financials
2011-01-21,10.210589408874512,10.260215849720941,10.1609636962758,10.198182980724834,93333928,Financials
2011-01-24,10.198182106018066,10.247808542607995,10.160962824761363,10.229198173731985,54863208,Financials
2011-01-25,10.179569244384766,10.210585302284628,10.055503556290464,10.148552458237477,84937892,Financials
2011-01-26,10.173367500305176,10.235400353300516,10.160961075355614,10.210586775153862,68221281,Financials
2011-01-27,10.260214805603027,10.266418019046602,10.160962662258157,10.173369089145309,88248544,Financials
2011-01-28,10.080320358276367,10.340857512793733,10.067913931144254,10.26641822175339,139244565,Financials
2011-01-31,10.173367500305176,10.191977137729518,10.098928222360271,10.098928222360271,77839208,Financials
2011-02-01,10.384284019470215,10.415301555778685,10.229202163911395,10.235406108121854,78635911,Financials
2011-02-02,10.303637504577637,10.384279275247895,10.291230350073064,10.353263209605487,57381711,Financials
2011-02-03,10.309842109680176,10.328451751578184,10.210589229728717,10.303638895714172,63619065,Financials
2011-02-04,10.303637504577637,10.309840717706118,10.222995005659769,10.297434291449154,76650431,Financials
